Giocatore,Squadra,Squadra entro i parametri stabiliti,Posizione,Età,Valore di mercato (Transfermarkt),Scadenza contratto,Partite disputate,Minuti giocati,Goal,xG,Assist,xA,Paese di nascita,Passaporto,Piede,Altezza,Peso,In prestito,Azione difensive riuscite/90,Duelli difensivi/90,"Duelli difensivi vinti, %",Duelli aerei/90,"Duelli aerei vinti, %",Contrasti/90,Possesso riconquistato dopo tackle scivolato,Tiri intercettati/90,Palle intercettate/90,Possesso riconquistato dopo intercetto,Falli/90,Cartellini gialli,Cartellini gialli/90,Cartellini rossi,Cartellini rossi/90,Azioni offensive riuscite/90,Goal/90,Goal (esclusi rigori),Goal esclusi rigori/90,xG/90,Goal di testa,Goal di testa/90,Tiri,Tiri/90,"Tiri in porta, %","Realizzazione, %",Assist/90,Cross/90,"Precisione cross, %",Cross dalla fascia sinistra/90,"Cross precisi da sinistra, %",Cross dalla fascia destra/90,"Cross precisi da destra, %",Cross verso l'area piccola/90,Dribbling/90,"Dribbling riusciti, %",Duelli offensivi/90,"Duelli offensivi vinti, %",Tocchi in area/90,Allunghi/90,Accelerazioni/90,Passaggi ricevuti/90,Lanci lunghi ricevuti/90,Falli subiti/90,Passaggi/90,"Precisione passaggi, %",Passaggi in avanti/90,"Precisione passaggi in avanti, %",Retropassaggi/90,"Precisione retropassaggi, %",Passaggi laterali/90,"Precisione passaggi laterali, %",Passaggi corti / medi /90,"Precisione passaggi corti / medi, %",Passaggi lunghi/90,"Precisione lanci lunghi, %","Lunghezza media passaggi, m","Lunghezza media passaggi lunghi, m",xA/90,Assist/90.1,Second assist/90,Third assist/90,Passaggi smarcanti/90,"Precisione passaggi smarcanti, %",Passaggi chiave/90,Passaggi nella trequarti/90,"Precisione passaggi verso la trequarti, %",Passaggi verso l'area di rigore/90,"Precisione passaggi verso l'area di rigore, %",Passaggi filtranti/90,"Precisione passaggi filtranti, %",Attacco in profondità/90,Cross dalla trequarti/90,Passaggi progressivi/90,"Precisione passaggi progressivi, %",Retropassaggi ricevuti dal portiere/90 
A. Novakovich,Bari,Bari,CF,28,450000,2026-06-30,13,682,3,2.44,1,1.41,United States,"United States, Serbia",destro,192,78,si,1.72,1.32,50.0,6.86,48.08,0.13,0.19,0.13,0.92,1.31,1.58,2,0.26,0,0.0,2.38,0.4,3,0.4,0.32,1,0.13,12,1.58,66.67,25.0,0.13,0.4,33.33,0.0,0.0,0.4,33.33,0.13,2.38,50.0,9.77,28.38,3.83,1.19,0.0,7.39,0.79,0.92,12.01,80.22,2.51,63.16,3.43,96.15,3.3,88.0,11.35,82.56,0.26,50.0,13.65,6.3,0.19,1.45,0.0,0.0,0.0,0.0,0.26,0.53,75.0,0.66,60.0,0.0,0.0,1.19,0.13,0.66,40.0,0.0
O. Abildgaard,Pisa,Pisa,LCMF,28,2500000,2025-06-30,6,254,0,0.0,0,0.0,Denmark,Denmark,sinistro,193,86,si,7.44,5.67,75.0,3.19,55.56,0.35,0.37,0.0,2.83,2.93,2.83,3,1.06,0,0.0,1.42,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.06,33.33,0.71,50.0,0.35,0.0,0.0,1.06,100.0,3.19,88.89,0.35,0.71,0.0,24.8,1.06,0.35,36.5,75.73,13.46,63.16,4.25,91.67,12.76,80.56,32.95,81.72,2.48,14.29,19.55,17.95,0.0,0.0,0.35,0.0,0.0,0.0,0.0,4.25,75.0,1.42,50.0,0.0,0.0,0.35,0.35,5.67,56.25,1.42
F. Abiuso,Modena,Modena,CF,21,500000,2026-06-30,12,723,2,1.3,0,0.75,Italy,Italy,destro,186,77,no,3.24,2.86,65.22,8.09,35.38,0.12,0.16,0.0,1.24,1.6,1.74,0,0.0,0,0.0,1.24,0.25,2,0.25,0.16,2,0.25,12,1.49,50.0,16.667,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.12,0.75,66.67,6.97,21.43,3.24,0.37,0.0,7.84,2.24,0.87,13.69,68.18,2.37,47.37,4.48,86.11,2.86,65.22,12.7,71.57,0.5,50.0,13.98,13.03,0.09,0.5,0.0,0.0,0.0,0.0,0.12,0.87,42.86,0.5,100.0,0.0,0.0,0.75,0.0,1.49,50.0,0.0
E. Adamo,Cesena,Cesena,"RWB, RB",26,700000,2025-06-30,12,870,2,1.2,0,0.21,Italy,Italy,destro,177,70,no,7.03,6.62,50.0,1.14,27.27,0.0,0.0,0.0,3.72,4.91,1.24,1,0.1,0,0.0,2.59,0.21,2,0.21,0.12,1,0.1,14,1.45,57.14,14.286,0.0,2.07,35.0,0.21,50.0,1.86,33.33,0.41,1.86,55.56,7.45,47.22,2.69,2.59,0.72,27.0,1.55,1.97,36.31,81.48,8.59,71.08,10.66,93.2,10.03,81.44,31.66,85.95,2.69,61.54,16.94,25.25,0.02,0.41,0.1,0.0,0.0,0.0,0.1,2.69,84.62,1.86,55.56,0.21,0.0,0.72,0.83,6.41,64.52,0.52
A. Adorante,Juve Stabia,Juve Stabia,CF,24,400000,2027-06-30,11,857,5,4.28,0,0.15,Italy,Italy,destro,184,78,no,2.31,2.1,50.0,8.61,36.59,0.11,0.18,0.21,1.16,1.96,1.68,1,0.11,0,0.0,1.68,0.53,4,0.42,0.45,2,0.21,24,2.52,41.67,20.833,0.0,0.11,0.0,0.11,0.0,0.0,0.0,0.0,1.16,54.55,8.61,31.71,3.15,0.63,0.21,10.4,3.05,2.31,15.12,77.78,3.68,54.29,3.36,84.38,3.99,84.21,14.6,79.14,0.42,50.0,13.52,9.93,0.02,0.42,0.0,0.0,0.0,0.0,0.11,1.26,75.0,0.84,50.0,0.21,50.0,0.84,0.0,1.05,60.0,0.0
D. Adorni,Brescia,Brescia,"LCB, CB",32,500000,2026-06-30,13,1248,2,2.28,0,0.0,Italy,Italy,destro,185,78,no,7.5,5.12,71.83,4.18,53.45,0.07,0.09,0.58,3.75,4.92,1.08,5,0.36,0,0.0,0.36,0.14,2,0.14,0.16,2,0.14,13,0.94,38.46,15.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,28.57,1.15,0.0,0.0,30.14,0.07,0.29,42.76,90.56,13.34,76.76,1.95,96.3,25.38,97.44,37.21,96.12,5.55,53.25,24.02,41.03,0.0,0.0,0.14,0.0,0.0,0.0,0.0,4.04,58.93,0.5,14.29,0.36,20.0,0.22,0.0,6.35,75.0,1.15
E. Akinsanmiro,Sampdoria,Sampdoria,RCMF,19,0,,13,624,1,0.43,0,0.18,Nigeria,Nigeria,destro,184,70,si,7.79,9.23,59.38,3.32,47.83,0.14,0.2,0.14,2.16,3.06,2.88,1,0.14,0,0.0,2.31,0.14,1,0.14,0.06,0,0.0,8,1.15,62.5,12.5,0.0,0.58,50.0,0.0,0.0,0.43,33.33,0.14,2.6,50.0,10.24,45.07,1.15,2.45,0.14,23.37,0.87,1.88,35.63,81.78,13.56,69.15,5.77,95.0,11.83,90.24,31.01,84.65,4.04,64.29,18.94,34.52,0.03,0.58,0.0,0.0,0.0,0.0,0.29,6.92,72.92,2.31,50.0,0.14,100.0,1.01,0.29,7.5,86.54,0.29
F. Amatucci,Cittadella,Cittadella,"RCMF, LW",23,500000,,13,1176,0,0.74,0,0.77,Italy,Italy,destro,182,73,no,7.73,5.74,57.33,1.99,38.46,0.31,0.39,0.31,4.13,5.26,0.99,4,0.31,0,0.0,0.99,0.0,0,0.0,0.06,0,0.0,12,0.92,16.67,0.0,0.0,0.69,33.33,0.46,33.33,0.23,33.33,0.0,1.07,57.14,3.06,47.5,2.45,1.45,0.15,15.84,0.31,0.54,25.26,79.7,7.42,72.16,3.9,86.27,9.72,86.61,22.27,84.19,2.37,48.39,18.09,28.45,0.06,0.54,0.0,0.0,0.0,0.0,0.15,3.6,72.34,0.84,54.55,0.23,33.33,0.61,0.23,3.44,66.67,0.15
L. Amatucci,Salernitana,Salernitana,DMF,20,1000000,2028-06-30,12,1022,0,0.44,1,0.6,Italy,Italy,destro,172,65,si,9.77,7.84,60.67,0.88,60.0,0.97,1.42,0.26,4.05,5.92,1.76,2,0.18,0,0.0,1.32,0.0,0,0.0,0.04,0,0.0,7,0.62,28.57,0.0,0.09,1.32,26.67,0.7,37.5,0.53,16.67,0.0,0.88,90.0,4.32,65.31,0.09,0.62,0.09,37.16,0.09,2.99,50.72,88.37,12.59,72.73,6.6,94.67,23.34,93.58,45.62,93.63,3.79,46.51,17.94,31.57,0.05,0.53,0.0,0.09,0.09,0.0,0.18,6.87,74.36,2.29,26.92,0.53,0.0,0.18,0.44,3.79,72.09,0.35
G. Ambrosino,Frosinone,Frosinone,"CF, LW, LWF",21,2200000,2026-06-30,12,795,1,2.34,0,0.78,Italy,Italy,destro,187,73,si,4.64,3.06,74.07,4.3,26.32,0.34,0.45,0.0,2.04,2.67,1.58,1,0.11,0,0.0,2.6,0.11,1,0.11,0.27,0,0.0,20,2.26,30.0,5.0,0.0,0.91,37.5,0.34,0.0,0.57,60.0,0.11,2.83,56.0,8.38,36.49,3.06,0.91,0.57,13.47,1.47,2.49,18.34,78.4,3.4,56.67,5.55,89.8,6.34,78.57,16.64,80.95,0.91,62.5,18.85,18.09,0.09,0.79,0.0,0.0,0.0,0.0,0.23,1.58,64.29,1.02,44.44,0.0,0.0,0.34,0.45,1.47,69.23,0.34
